Height/arb.u.	Counts
0	0
0.1	0
0.2	0
0.3	42
0.4	36
0.5	53
0.6	82
0.7	112
0.8	148
0.9	179
1	266
1.1	349
1.2	538
1.3	794
1.4	1146
1.5	1391
1.6	1888
1.7	2284
1.8	2810
1.9	3292
2	4047
2.1	4725
2.2	5079
2.3	5524
2.4	5627
2.5	5555
2.6	5176
2.7	4748
2.8	4639
2.9	4806
3	5559
3.1	6995
3.2	8737
3.3	10714
3.4	13393
3.5	15731
3.6	18020
3.7	19973
3.8	21332
3.9	22489
4	23477
4.1	24575
4.2	25611
4.3	26579
4.4	27315
4.5	28715
4.6	29001
4.7	28981
4.8	27875
4.9	25707
5	22887
5.1	19817
5.2	16652
5.3	14330
5.4	12708
5.5	11200
5.6	10615
5.7	10276
5.8	10031
5.9	9919
6	10018
6.1	10003
6.2	10123
6.3	10080
6.4	10001
6.5	9941
6.6	10052
6.7	10008
6.8	9937
6.9	9869
7	9783
7.1	9618
7.2	9539
7.3	9257
7.4	9055
7.5	8699
7.6	8581
7.7	8517
7.8	8198
7.9	8264
8	7823
8.1	7736
8.2	7518
8.3	7447
8.4	7247
8.5	7098
8.6	6975
8.7	6532
8.8	6566
8.9	6340
9	6097
9.1	5917
9.2	5498
9.3	5239
9.4	4964
9.5	4568
9.6	4397
9.7	4143
9.8	3783
9.9	3566
10	3307
10.1	3116
10.2	2853
10.3	2682
10.4	2617
10.5	2428
10.6	2342
10.7	2275
10.8	2170
10.9	2116
11	2029
11.1	1932
11.2	1935
11.3	1827
11.4	1749
11.5	1684
11.6	1723
11.7	1624
11.8	1544
11.9	1486
12	1495
12.1	1359
12.2	1357
12.3	1303
12.4	1335
12.5	1224
12.6	1129
12.7	1113
12.8	1091
12.9	951
13	959
13.1	925
13.2	919
13.3	868
13.4	830
13.5	761
13.6	704
13.7	684
13.8	660
13.9	608
14	520
14.1	579
14.2	522
14.3	476
14.4	464
14.5	477
14.6	404
14.7	385
14.8	371
14.9	384
15	343
15.1	286
15.2	298
15.3	277
15.4	266
15.5	278
15.6	251
15.7	226
15.8	216
15.9	224
16	199
16.1	192
16.2	206
16.3	179
16.4	173
16.5	160
16.6	163
16.7	164
16.8	133
16.9	151
17	135
17.1	127
17.2	110
17.3	112
17.4	110
17.5	92
17.6	91
17.7	94
17.8	102
17.9	88
18	58
18.1	76
18.2	67
18.3	60
18.4	63
18.5	77
18.6	66
18.7	57
18.8	50
18.9	60
19	35
19.1	44
19.2	51
19.3	42
19.4	36
19.5	39
19.6	48
19.7	37
19.8	36
19.9	31
20	31
20.1	30
20.2	26
20.3	26
20.4	26
20.5	27
20.6	30
20.7	16
20.8	22
20.9	17
21	18
21.1	18
21.2	18
21.3	16
21.4	15
21.5	23
21.6	10
21.7	15
21.8	20
21.9	11
22	19
22.1	14
22.2	14
22.3	10
22.4	11
22.5	15
22.6	6
