Height/arb.u.	Counts
0	0
0.1	0
0.2	0
0.3	579
0.4	632
0.5	812
0.6	696
0.7	473
0.8	337
0.9	311
1	330
1.1	358
1.2	362
1.3	440
1.4	465
1.5	576
1.6	807
1.7	1076
1.8	1692
1.9	2518
2	3993
2.1	6212
2.2	8793
2.3	11373
2.4	13207
2.5	13499
2.6	12368
2.7	10278
2.8	8125
2.9	6021
3	4539
3.1	3396
3.2	2749
3.3	2238
3.4	2126
3.5	2123
3.6	2111
3.7	2265
3.8	2488
3.9	2592
4	2877
4.1	2970
4.2	3157
4.3	3172
4.4	3441
4.5	3505
4.6	3743
4.7	3960
4.8	4140
4.9	4384
5	4769
5.1	4753
5.2	5037
5.3	5145
5.4	5463
5.5	5643
5.6	5913
5.7	6515
5.8	6917
5.9	7403
6	8103
6.1	8344
6.2	8665
6.3	8489
6.4	8471
6.5	7678
6.6	7058
6.7	6215
6.8	5194
6.9	4330
7	3699
7.1	3147
7.2	2788
7.3	2453
7.4	2266
7.5	2130
7.6	2059
7.7	2051
7.8	2169
7.9	2038
8	2090
8.1	2159
8.2	2202
8.3	2286
8.4	2309
8.5	2240
8.6	2238
8.7	2183
8.8	2292
8.9	2273
9	2213
9.1	2242
9.2	2257
9.3	2178
9.4	2082
9.5	2032
9.6	2135
9.7	2103
9.8	2107
9.9	2136
10	2048
10.1	2181
10.2	2216
10.3	2222
10.4	2267
10.5	2316
10.6	2314
10.7	2332
10.8	2337
10.9	2429
11	2334
11.1	2453
11.2	2465
11.3	2397
11.4	2508
11.5	2417
11.6	2341
11.7	2350
11.8	2283
11.9	2399
12	2309
12.1	2303
12.2	2242
12.3	2210
12.4	2175
12.5	2121
12.6	2082
12.7	2008
12.8	2015
12.9	1880
13	1970
13.1	1858
13.2	1833
13.3	1836
13.4	1778
13.5	1695
13.6	1676
13.7	1676
13.8	1660
13.9	1644
14	1618
14.1	1511
14.2	1455
14.3	1520
14.4	1528
14.5	1460
14.6	1506
14.7	1469
14.8	1373
14.9	1381
15	1228
15.1	1372
15.2	1251
15.3	1271
15.4	1219
15.5	1277
15.6	1316
15.7	1233
15.8	1278
15.9	1354
16	1273
16.1	1217
16.2	1214
16.3	1271
16.4	1334
16.5	1245
16.6	1250
16.7	1266
16.8	1258
16.9	1210
17	1334
17.1	1292
17.2	1291
17.3	1243
17.4	1292
17.5	1290
17.6	1310
17.7	1349
17.8	1336
17.9	1325
18	1372
18.1	1519
18.2	1439
18.3	1548
18.4	1456
18.5	1550
18.6	1609
18.7	1663
18.8	1633
18.9	1679
19	1737
19.1	1785
19.2	1744
19.3	1799
19.4	1901
19.5	2030
19.6	2057
19.7	2026
19.8	2093
19.9	2090
20	2149
20.1	2239
20.2	2215
20.3	2246
20.4	2268
20.5	2266
20.6	2375
20.7	2381
20.8	2379
20.9	2402
21	2420
21.1	2509
21.2	2553
