Height/arb.u.	Counts
0	0
0.1	0
0.2	0
0.3	2071
0.4	329
0.5	184
0.6	174
0.7	180
0.8	168
0.9	177
1	166
1.1	182
1.2	158
1.3	160
1.4	192
1.5	183
1.6	172
1.7	180
1.8	176
1.9	192
2	213
2.1	182
2.2	209
2.3	212
2.4	224
2.5	222
2.6	224
2.7	223
2.8	242
2.9	200
3	247
3.1	212
3.2	248
3.3	240
3.4	233
3.5	232
3.6	254
3.7	237
3.8	246
3.9	241
4	246
4.1	267
4.2	259
4.3	255
4.4	285
4.5	273
4.6	269
4.7	269
4.8	277
4.9	307
5	352
5.1	354
5.2	349
5.3	412
5.4	461
5.5	480
5.6	495
5.7	511
5.8	505
5.9	451
6	472
6.1	476
6.2	426
6.3	428
6.4	455
6.5	389
6.6	394
6.7	377
6.8	352
6.9	362
7	318
7.1	290
7.2	304
7.3	310
7.4	330
7.5	329
7.6	289
7.7	316
7.8	293
7.9	312
8	338
8.1	289
8.2	301
8.3	324
8.4	287
8.5	295
8.6	335
8.7	297
8.8	319
8.9	296
9	307
9.1	337
9.2	304
9.3	314
9.4	319
9.5	305
9.6	315
9.7	286
9.8	310
9.9	296
10	291
10.1	319
10.2	329
10.3	298
10.4	312
10.5	317
10.6	310
10.7	290
10.8	334
10.9	338
11	337
11.1	306
11.2	321
11.3	329
11.4	300
11.5	307
11.6	276
11.7	323
11.8	310
11.9	322
12	286
12.1	306
12.2	318
12.3	338
12.4	295
12.5	309
12.6	289
12.7	342
12.8	299
12.9	369
13	315
13.1	325
13.2	327
13.3	299
13.4	313
13.5	320
13.6	306
13.7	293
13.8	315
13.9	283
14	309
14.1	278
14.2	298
14.3	317
14.4	317
14.5	323
14.6	335
14.7	363
14.8	352
14.9	339
15	387
15.1	329
15.2	347
15.3	392
15.4	407
15.5	389
15.6	363
15.7	386
15.8	398
15.9	379
16	390
16.1	394
16.2	402
16.3	399
16.4	416
16.5	399
16.6	403
16.7	375
16.8	384
16.9	382
17	411
17.1	397
17.2	340
17.3	421
17.4	380
17.5	380
17.6	401
17.7	340
17.8	353
17.9	371
18	347
18.1	366
18.2	341
18.3	358
18.4	322
18.5	364
18.6	302
18.7	293
18.8	358
18.9	296
19	301
19.1	292
19.2	316
19.3	324
19.4	305
19.5	327
19.6	304
19.7	318
19.8	317
19.9	315
20	328
20.1	283
20.2	262
20.3	268
20.4	256
20.5	288
20.6	286
20.7	265
20.8	276
20.9	251
21	243
21.1	252
21.2	232
21.3	272
21.4	268
21.5	250
21.6	272
21.7	245
21.8	251
21.9	227
22	237
22.1	253
22.2	239
22.3	274
22.4	231
22.5	245
22.6	212
22.7	243
22.8	203
22.9	212
23	214
23.1	214
23.2	231
23.3	224
23.4	211
23.5	195
23.6	207
23.7	185
23.8	190
23.9	206
24	207
24.1	214
24.2	211
24.3	215
24.4	178
24.5	201
24.6	210
