Height/arb.u.	Counts
0	0
0.1	0
0.2	0
0.3	46
0.4	17
0.5	24
0.6	29
0.7	35
0.8	53
0.9	55
1	74
1.1	77
1.2	78
1.3	108
1.4	116
1.5	124
1.6	167
1.7	173
1.8	208
1.9	262
2	342
2.1	429
2.2	573
2.3	700
2.4	848
2.5	985
2.6	990
2.7	1051
2.8	944
2.9	839
3	749
3.1	685
3.2	597
3.3	539
3.4	564
3.5	491
3.6	439
3.7	462
3.8	481
3.9	454
4	480
4.1	533
4.2	518
4.3	499
4.4	585
4.5	591
4.6	601
4.7	611
4.8	655
4.9	685
5	739
5.1	699
5.2	765
5.3	872
5.4	942
5.5	970
5.6	957
5.7	1016
5.8	1099
5.9	1066
6	1062
6.1	1041
6.2	1031
6.3	1057
6.4	1097
6.5	1046
6.6	1068
6.7	970
6.8	1013
6.9	1004
7	965
7.1	1014
7.2	984
7.3	956
7.4	971
7.5	915
7.6	1033
7.7	1002
7.8	974
7.9	966
8	982
8.1	1040
8.2	1019
8.3	1073
8.4	1060
8.5	1029
8.6	1116
8.7	1134
8.8	1104
8.9	1110
9	1180
9.1	1237
9.2	1122
9.3	1192
9.4	1167
9.5	1221
9.6	1132
9.7	1228
9.8	1319
9.9	1330
10	1341
10.1	1357
10.2	1333
10.3	1367
10.4	1387
10.5	1362
10.6	1422
10.7	1434
10.8	1457
10.9	1468
11	1551
11.1	1487
11.2	1512
11.3	1522
11.4	1556
11.5	1577
11.6	1640
11.7	1646
11.8	1606
11.9	1649
12	1672
12.1	1765
12.2	1728
12.3	1806
12.4	1759
12.5	1743
12.6	1814
12.7	1847
12.8	1856
12.9	1803
13	1928
13.1	1963
13.2	1970
13.3	2040
13.4	2097
13.5	2021
13.6	2102
13.7	2069
13.8	2164
13.9	2184
14	2094
14.1	2157
14.2	2198
14.3	2235
14.4	2218
14.5	2193
14.6	2245
14.7	2235
14.8	2193
14.9	2182
15	2328
15.1	2257
15.2	2296
15.3	2153
15.4	2162
15.5	2170
15.6	2208
15.7	2184
15.8	2137
15.9	2224
16	2124
16.1	2106
16.2	2050
16.3	2068
16.4	2034
16.5	2031
16.6	2006
16.7	2053
16.8	2001
16.9	2005
17	1970
17.1	2001
17.2	2009
17.3	1914
17.4	1990
17.5	1971
17.6	1888
17.7	1888
17.8	1862
17.9	1876
18	1802
18.1	1897
18.2	1809
18.3	1838
18.4	1904
18.5	1892
18.6	1812
18.7	1868
18.8	1867
18.9	1728
19	1749
19.1	1773
19.2	1733
19.3	1818
19.4	1843
19.5	1758
19.6	1758
19.7	1787
19.8	1756
19.9	1807
20	1770
20.1	1797
20.2	1701
20.3	1817
20.4	1744
20.5	1742
20.6	1698
20.7	1640
20.8	1746
20.9	1775
21	1774
21.1	1710
21.2	1618
21.3	1732
21.4	1676
21.5	1678
21.6	1739
21.7	1753
21.8	1606
21.9	1693
22	1700
