Height/arb.u.	Counts
0	0
0.1	0
0.2	0
0.3	603
0.4	192
0.5	129
0.6	142
0.7	177
0.8	176
0.9	239
1	257
1.1	270
1.2	403
1.3	397
1.4	407
1.5	423
1.6	460
1.7	464
1.8	501
1.9	509
2	514
2.1	560
2.2	670
2.3	678
2.4	751
2.5	777
2.6	827
2.7	870
2.8	924
2.9	1000
3	1030
3.1	1125
3.2	1177
3.3	1266
3.4	1474
3.5	1663
3.6	1750
3.7	1931
3.8	1982
3.9	2066
4	2130
4.1	2050
4.2	2092
4.3	2101
4.4	2291
4.5	2365
4.6	2455
4.7	2550
4.8	2603
4.9	2859
5	2958
5.1	3200
5.2	3368
5.3	3707
5.4	3953
5.5	4340
5.6	4597
5.7	4819
5.8	5295
5.9	5406
6	5516
6.1	5443
6.2	5268
6.3	4984
6.4	4802
6.5	4491
6.6	4092
6.7	3761
6.8	3471
6.9	3283
7	3077
7.1	2718
7.2	2553
7.3	2391
7.4	2151
7.5	2098
7.6	1930
7.7	1897
7.8	1904
7.9	1799
8	1794
8.1	1806
8.2	1838
8.3	1859
8.4	1885
8.5	1847
8.6	1797
8.7	1876
8.8	1990
8.9	1935
9	1945
9.1	1918
9.2	1884
9.3	2080
9.4	2030
9.5	2073
9.6	2088
9.7	2035
9.8	2136
9.9	2233
10	2210
10.1	2163
10.2	2217
10.3	2327
10.4	2222
10.5	2246
10.6	2340
10.7	2367
10.8	2332
10.9	2415
11	2393
11.1	2370
11.2	2448
11.3	2429
11.4	2480
11.5	2407
11.6	2374
11.7	2460
11.8	2439
11.9	2426
12	2312
12.1	2429
12.2	2443
12.3	2446
12.4	2348
12.5	2334
12.6	2455
12.7	2474
12.8	2403
12.9	2524
13	2505
13.1	2569
13.2	2559
13.3	2543
13.4	2559
13.5	2566
13.6	2575
13.7	2505
13.8	2702
13.9	2524
14	2619
14.1	2521
14.2	2517
14.3	2358
14.4	2403
14.5	2361
14.6	2320
14.7	2351
14.8	2380
14.9	2228
15	2232
15.1	2301
15.2	2227
15.3	2269
15.4	2296
15.5	2277
15.6	2222
15.7	2274
15.8	2217
15.9	2280
16	2252
16.1	2267
16.2	2276
16.3	2337
16.4	2355
16.5	2365
16.6	2331
16.7	2491
16.8	2531
16.9	2492
17	2501
17.1	2538
17.2	2648
17.3	2576
17.4	2586
17.5	2662
17.6	2605
17.7	2626
17.8	2642
17.9	2538
18	2541
18.1	2593
18.2	2466
18.3	2459
18.4	2448
18.5	2455
18.6	2406
18.7	2420
18.8	2407
18.9	2327
19	2318
19.1	2362
19.2	2407
19.3	2395
19.4	2321
19.5	2400
19.6	2341
19.7	2427
19.8	2444
19.9	2517
20	2494
20.1	2454
20.2	2607
20.3	2623
20.4	2646
20.5	2645
20.6	2829
20.7	2833
20.8	2857
20.9	2838
21	2805
21.1	2839
21.2	2885
21.3	2799
21.4	2900
