Height/arb.u.	Counts
0	0
0.1	0
0.2	0
0.3	498
0.4	143
0.5	106
0.6	163
0.7	197
0.8	188
0.9	239
1	282
1.1	318
1.2	388
1.3	428
1.4	418
1.5	485
1.6	453
1.7	475
1.8	512
1.9	496
2	592
2.1	618
2.2	640
2.3	674
2.4	752
2.5	817
2.6	848
2.7	823
2.8	902
2.9	950
3	1070
3.1	1139
3.2	1303
3.3	1486
3.4	1646
3.5	1752
3.6	1960
3.7	2003
3.8	2049
3.9	2074
4	2123
4.1	2067
4.2	2070
4.3	2121
4.4	2230
4.5	2380
4.6	2476
4.7	2531
4.8	2617
4.9	2811
5	2989
5.1	3349
5.2	3447
5.3	3928
5.4	4231
5.5	4604
5.6	5039
5.7	5445
5.8	5885
5.9	5960
6	6006
6.1	5821
6.2	5617
6.3	5249
6.4	4986
6.5	4505
6.6	4404
6.7	3920
6.8	3400
6.9	3102
7	2996
7.1	2768
7.2	2570
7.3	2422
7.4	2156
7.5	1986
7.6	1937
7.7	1728
7.8	1766
7.9	1814
8	1788
8.1	1673
8.2	1682
8.3	1671
8.4	1740
8.5	1651
8.6	1815
8.7	1723
8.8	1783
8.9	1843
9	1819
9.1	1746
9.2	1899
9.3	1949
9.4	1908
9.5	1921
9.6	2029
9.7	2042
9.8	2057
9.9	2042
10	2049
10.1	2095
10.2	2112
10.3	2079
10.4	2134
10.5	2240
10.6	2208
10.7	2328
10.8	2195
10.9	2306
11	2253
11.1	2370
11.2	2328
11.3	2327
11.4	2245
11.5	2373
11.6	2321
11.7	2352
11.8	2302
11.9	2305
12	2268
12.1	2298
12.2	2272
12.3	2333
12.4	2276
12.5	2421
12.6	2369
12.7	2401
12.8	2460
12.9	2298
13	2342
13.1	2437
13.2	2472
13.3	2438
13.4	2539
13.5	2533
13.6	2526
13.7	2522
13.8	2505
13.9	2460
14	2416
14.1	2414
14.2	2300
14.3	2312
14.4	2305
14.5	2275
14.6	2281
14.7	2254
14.8	2203
14.9	2234
15	2189
15.1	2156
15.2	2065
15.3	2191
15.4	2124
15.5	2165
15.6	2174
15.7	2191
15.8	2161
15.9	2199
16	2200
16.1	2228
16.2	2287
16.3	2365
16.4	2334
16.5	2392
16.6	2415
16.7	2528
16.8	2506
16.9	2571
17	2563
17.1	2525
17.2	2620
17.3	2538
17.4	2574
17.5	2599
17.6	2644
17.7	2610
17.8	2540
17.9	2533
18	2513
18.1	2499
18.2	2496
18.3	2418
18.4	2384
18.5	2306
18.6	2354
18.7	2311
18.8	2326
18.9	2407
19	2206
19.1	2451
19.2	2254
19.3	2367
19.4	2397
19.5	2340
19.6	2386
19.7	2585
19.8	2527
19.9	2528
20	2627
20.1	2631
20.2	2640
20.3	2666
20.4	2824
20.5	2788
20.6	2875
20.7	2857
20.8	2922
20.9	2943
21	2872
21.1	2870
21.2	2900
21.3	2857
21.4	2777
