Height/arb.u.	Counts
0	0
0.1	0
0.2	0
0.3	204
0.4	74
0.5	41
0.6	21
0.7	26
0.8	19
0.9	15
1	18
1.1	15
1.2	17
1.3	20
1.4	19
1.5	21
1.6	20
1.7	12
1.8	27
1.9	31
2	20
2.1	21
2.2	15
2.3	28
2.4	24
2.5	32
2.6	32
2.7	25
2.8	24
2.9	26
3	22
3.1	24
3.2	21
3.3	34
3.4	34
3.5	49
3.6	39
3.7	36
3.8	43
3.9	50
4	37
4.1	51
4.2	41
4.3	48
4.4	64
4.5	60
4.6	65
4.7	82
4.8	88
4.9	69
5	93
5.1	77
5.2	90
5.3	103
5.4	131
5.5	94
5.6	121
5.7	120
5.8	122
5.9	120
6	126
6.1	103
6.2	137
6.3	123
6.4	115
6.5	88
6.6	110
6.7	111
6.8	100
6.9	109
7	95
7.1	96
7.2	95
7.3	74
7.4	94
7.5	91
7.6	87
7.7	101
7.8	84
7.9	76
8	80
8.1	95
8.2	77
8.3	85
8.4	68
8.5	86
8.6	70
8.7	61
8.8	80
8.9	83
9	75
9.1	85
9.2	74
9.3	62
9.4	70
9.5	75
9.6	80
9.7	81
9.8	73
9.9	67
10	63
10.1	57
10.2	72
10.3	70
10.4	77
10.5	71
10.6	47
10.7	68
10.8	67
10.9	72
11	64
11.1	63
11.2	60
11.3	54
11.4	57
11.5	48
11.6	64
11.7	60
11.8	59
11.9	52
12	54
12.1	61
12.2	40
12.3	71
12.4	47
12.5	45
12.6	54
12.7	55
12.8	48
12.9	52
13	40
13.1	61
13.2	54
13.3	42
13.4	45
13.5	63
13.6	42
13.7	44
13.8	33
13.9	50
14	37
14.1	44
14.2	43
14.3	45
14.4	39
14.5	42
14.6	49
14.7	41
14.8	39
14.9	37
15	30
15.1	42
15.2	53
15.3	32
15.4	34
15.5	33
15.6	39
15.7	38
15.8	35
15.9	39
16	22
16.1	41
16.2	25
16.3	30
16.4	25
16.5	28
16.6	24
16.7	29
16.8	27
16.9	23
17	31
17.1	27
17.2	26
17.3	19
17.4	27
17.5	26
17.6	17
17.7	26
17.8	17
17.9	25
18	20
18.1	22
18.2	22
18.3	25
18.4	25
18.5	27
18.6	20
18.7	17
18.8	20
18.9	16
19	17
19.1	25
19.2	10
19.3	26
19.4	12
19.5	16
19.6	22
19.7	11
19.8	14
19.9	8
20	21
20.1	17
20.2	22
20.3	28
20.4	14
20.5	19
20.6	18
20.7	16
20.8	18
20.9	13
21	15
21.1	18
21.2	20
21.3	8
21.4	13
21.5	6
21.6	14
21.7	11
21.8	12
21.9	15
22	12
22.1	16
22.2	10
22.3	11
22.4	15
22.5	15
22.6	10
22.7	10
22.8	13
22.9	11
23	6
23.1	14
23.2	12
23.3	10
23.4	10
23.5	17
23.6	11
23.7	19
23.8	11
23.9	11
24	21
24.1	8
24.2	21
24.3	14
24.4	12
24.5	15
24.6	16
