Height/arb.u.	Counts
0	0
0.1	0
0.2	0
0.3	1439
0.4	609
0.5	290
0.6	198
0.7	137
0.8	112
0.9	120
1	137
1.1	119
1.2	133
1.3	140
1.4	128
1.5	135
1.6	137
1.7	137
1.8	142
1.9	140
2	151
2.1	171
2.2	195
2.3	161
2.4	203
2.5	198
2.6	201
2.7	218
2.8	193
2.9	227
3	213
3.1	226
3.2	220
3.3	263
3.4	282
3.5	294
3.6	309
3.7	334
3.8	349
3.9	333
4	335
4.1	410
4.2	401
4.3	434
4.4	433
4.5	456
4.6	520
4.7	561
4.8	603
4.9	610
5	670
5.1	685
5.2	702
5.3	771
5.4	821
5.5	830
5.6	904
5.7	913
5.8	908
5.9	886
6	862
6.1	861
6.2	852
6.3	770
6.4	773
6.5	792
6.6	733
6.7	754
6.8	741
6.9	671
7	674
7.1	682
7.2	663
7.3	641
7.4	636
7.5	661
7.6	660
7.7	649
7.8	656
7.9	667
8	638
8.1	609
8.2	615
8.3	643
8.4	589
8.5	609
8.6	637
8.7	551
8.8	577
8.9	585
9	620
9.1	561
9.2	579
9.3	561
9.4	530
9.5	518
9.6	595
9.7	550
9.8	550
9.9	526
10	485
10.1	490
10.2	533
10.3	484
10.4	545
10.5	498
10.6	498
10.7	475
10.8	469
10.9	455
11	501
11.1	460
11.2	444
11.3	457
11.4	415
11.5	414
11.6	416
11.7	435
11.8	387
11.9	361
12	406
12.1	390
12.2	382
12.3	400
12.4	392
12.5	378
12.6	364
12.7	340
12.8	379
12.9	388
13	350
13.1	357
13.2	367
13.3	363
13.4	352
13.5	330
13.6	327
13.7	346
13.8	307
13.9	315
14	313
14.1	318
14.2	298
14.3	316
14.4	268
14.5	317
14.6	291
14.7	280
14.8	261
14.9	276
15	277
15.1	268
15.2	250
15.3	244
15.4	240
15.5	257
15.6	224
15.7	247
15.8	243
15.9	217
16	196
16.1	232
16.2	239
16.3	206
16.4	231
16.5	249
16.6	204
16.7	199
16.8	198
16.9	191
17	174
17.1	180
17.2	201
17.3	176
17.4	190
17.5	175
17.6	168
17.7	169
17.8	157
17.9	166
18	149
18.1	148
18.2	156
18.3	174
18.4	165
18.5	161
18.6	146
18.7	131
18.8	133
18.9	131
19	130
19.1	143
19.2	123
19.3	130
19.4	122
19.5	130
19.6	141
19.7	105
19.8	114
19.9	114
20	110
20.1	113
20.2	112
20.3	122
20.4	108
20.5	117
20.6	119
20.7	116
20.8	109
20.9	93
21	99
21.1	117
21.2	106
21.3	101
21.4	103
21.5	95
21.6	106
21.7	86
21.8	87
21.9	100
22	97
22.1	80
22.2	90
22.3	97
22.4	89
22.5	90
22.6	100
22.7	81
22.8	85
22.9	99
23	108
23.1	89
23.2	104
23.3	106
23.4	79
23.5	100
23.6	84
23.7	89
23.8	85
23.9	71
24	113
24.1	96
24.2	86
24.3	97
24.4	83
24.5	70
24.6	67
