Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1450
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,1048
Lower Discriminator:,41
Calibration Coefficients:Elapsed Real Time:,82.11
Elapsed Live Time:,42.59
Start Time:,November 20, 2023, 11:39:30
End Time:,November 20, 2023, 11:40:52
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,51
1,,3
2,,4
3,,7
4,,1
5,,4
6,,2
7,,3
8,,6
9,,6
10,,10
11,,7
12,,1
13,,16
14,,8
15,,15
16,,13
17,,11
18,,14
19,,20
20,,20
21,,9
22,,15
23,,21
24,,30
25,,25
26,,41
27,,42
28,,43
29,,82
30,,91
31,,115
32,,151
33,,258
34,,7156
35,,32189
36,,39078
37,,36931
38,,34560
39,,32042
40,,29695
41,,27772
42,,25943
43,,24257
44,,22564
45,,21452
46,,19973
47,,18769
48,,17636
49,,16757
50,,15664
51,,14781
52,,13656
53,,13163
54,,12588
55,,11744
56,,11317
57,,10789
58,,10391
59,,9858
60,,9452
61,,9051
62,,8655
63,,8461
64,,8221
65,,7897
66,,7522
67,,7329
68,,7056
69,,6917
70,,6715
71,,6407
72,,6580
73,,6116
74,,5979
75,,5974
76,,5796
77,,5741
78,,5627
79,,5541
80,,5512
81,,5321
82,,5348
83,,5280
84,,5147
85,,5021
86,,5160
87,,5014
88,,4997
89,,5006
90,,4916
91,,4942
92,,4924
93,,4998
94,,4929
95,,4939
96,,4996
97,,4974
98,,5131
99,,5105
100,,5096
101,,5167
102,,5091
103,,5399
104,,5507
105,,5400
106,,5732
107,,5681
108,,5659
109,,5812
110,,6089
111,,6060
112,,6254
113,,6263
114,,6465
115,,6517
116,,6856
117,,6724
118,,7062
119,,6985
120,,6951
121,,7076
122,,7328
123,,7276
124,,7408
125,,7380
126,,7553
127,,7280
128,,7342
129,,7381
130,,7181
131,,7243
132,,7217
133,,7151
134,,6991
135,,7044
136,,6755
137,,6592
138,,6444
139,,6436
140,,6258
141,,6172
142,,6223
143,,6040
144,,5779
145,,5789
146,,5686
147,,5544
148,,5546
149,,5563
150,,5518
151,,5435
152,,5218
153,,5363
154,,5476
155,,5299
156,,5303
157,,5351
158,,5516
159,,5468
160,,5561
161,,5836
162,,5798
163,,6050
164,,6181
165,,6141
166,,6418
167,,6446
168,,6602
169,,6855
170,,6991
171,,7061
172,,7310
173,,7396
174,,7518
175,,7820
176,,7938
177,,8122
178,,8257
179,,8389
180,,8542
181,,8689
182,,8871
183,,8932
184,,8817
185,,8940
186,,9093
187,,9176
188,,9021
189,,8923
190,,9126
191,,8715
192,,8897
193,,8418
194,,8412
195,,8175
196,,8137
197,,7945
198,,7602
199,,7331
200,,6930
201,,6830
202,,6568
203,,6386
204,,5979
205,,5530
206,,5482
207,,5189
208,,4847
209,,4534
210,,4223
211,,3987
212,,3806
213,,3599
214,,3291
215,,3026
216,,2790
217,,2654
218,,2486
219,,2405
220,,2215
221,,2106
222,,1887
223,,1947
224,,1741
225,,1675
226,,1654
227,,1553
228,,1449
229,,1272
230,,1362
231,,1269
232,,1226
233,,1175
234,,1126
235,,1222
236,,1145
237,,1075
238,,1032
239,,1081
240,,1050
241,,898
242,,1094
243,,985
244,,923
245,,894
246,,931
247,,903
248,,879
249,,853
250,,875
251,,777
252,,845
253,,736
254,,776
255,,715
256,,744
257,,714
258,,672
259,,711
260,,655
261,,669
262,,611
263,,617
264,,604
265,,585
266,,577
267,,561
268,,536
269,,551
270,,557
271,,549
272,,506
273,,476
274,,484
275,,491
276,,503
277,,448
278,,438
279,,471
280,,486
281,,457
282,,403
283,,407
284,,459
285,,455
286,,386
287,,448
288,,412
289,,421
290,,404
291,,435
292,,395
293,,417
294,,429
295,,380
296,,371
297,,379
298,,349
299,,360
300,,394
301,,388
302,,388
303,,378
304,,345
305,,336
306,,366
307,,393
308,,354
309,,368
310,,351
311,,373
312,,365
313,,351
314,,325
315,,346
316,,353
317,,311
318,,322
319,,328
320,,367
321,,351
322,,316
323,,319
324,,307
325,,341
326,,341
327,,313
328,,322
329,,331
330,,298
331,,297
332,,306
333,,311
334,,308
335,,298
336,,323
337,,288
338,,264
339,,278
340,,277
341,,284
342,,254
343,,305
344,,292
345,,256
346,,281
347,,289
348,,286
349,,271
350,,304
351,,286
352,,255
353,,288
354,,281
355,,268
356,,304
357,,284
358,,302
359,,269
360,,305
361,,281
362,,270
363,,302
364,,282
