Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1450
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,1048
Lower Discriminator:,40
Calibration Coefficients:Elapsed Real Time:,67.77
Elapsed Live Time:,27.96
Start Time:,November 13, 2023, 04:25:49
End Time:,November 13, 2023, 04:26:57
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,56
1,,0
2,,5
3,,2
4,,2
5,,2
6,,6
7,,3
8,,2
9,,6
10,,7
11,,4
12,,8
13,,9
14,,5
15,,7
16,,11
17,,7
18,,9
19,,14
20,,9
21,,11
22,,22
23,,41
24,,43
25,,59
26,,102
27,,132
28,,201
29,,277
30,,389
31,,488
32,,722
33,,1949
34,,5400
35,,6339
36,,6270
37,,6465
38,,6431
39,,6242
40,,6229
41,,6214
42,,6210
43,,6128
44,,6214
45,,6119
46,,6108
47,,5989
48,,6040
49,,6051
50,,6186
51,,5843
52,,6098
53,,5917
54,,5956
55,,6088
56,,5961
57,,6041
58,,5894
59,,5958
60,,5934
61,,5910
62,,6012
63,,5921
64,,5898
65,,6004
66,,6070
67,,6143
68,,6111
69,,6211
70,,6206
71,,6290
72,,6257
73,,6300
74,,6376
75,,6457
76,,6546
77,,6606
78,,6606
79,,6598
80,,6895
81,,6966
82,,6780
83,,6946
84,,6922
85,,7089
86,,7193
87,,7097
88,,7214
89,,7330
90,,7417
91,,7468
92,,7382
93,,7602
94,,7525
95,,7542
96,,7588
97,,7601
98,,7595
99,,7802
100,,7748
101,,7661
102,,7782
103,,7773
104,,7746
105,,7790
106,,7856
107,,8019
108,,7889
109,,7811
110,,7939
111,,7812
112,,7884
113,,7898
114,,7758
115,,7837
116,,7907
117,,7875
118,,7753
119,,7896
120,,7732
121,,7978
122,,7841
123,,7982
124,,7877
125,,7922
126,,7751
127,,7770
128,,7975
129,,7917
130,,7932
131,,7979
132,,7735
133,,7816
134,,7841
135,,7838
136,,7840
137,,8139
138,,7923
139,,8036
140,,7991
141,,8042
142,,7913
143,,7927
144,,7965
145,,7963
146,,8029
147,,7986
148,,8045
149,,8172
150,,8181
151,,8045
152,,7866
153,,8051
154,,7987
155,,7985
156,,8226
157,,7916
158,,8145
159,,8064
160,,7918
161,,7964
162,,7938
163,,7904
164,,7861
165,,7876
166,,7957
167,,7848
168,,7778
169,,7887
170,,7805
171,,7777
172,,7686
173,,7803
174,,7870
175,,7560
176,,7617
177,,7597
178,,7765
179,,7464
180,,7520
181,,7583
182,,7450
183,,7585
184,,7471
185,,7421
186,,7540
187,,7450
188,,7367
189,,7344
190,,7355
191,,7228
192,,7301
193,,7211
194,,7119
195,,7154
196,,7133
197,,7312
198,,7011
199,,7175
200,,6992
201,,7074
202,,6994
203,,7045
204,,7045
205,,6938
206,,7050
207,,7010
208,,6862
209,,7111
210,,6880
211,,6868
212,,6997
213,,6833
214,,6895
215,,6739
216,,6804
217,,6805
218,,6721
219,,6684
220,,6674
221,,6499
222,,6575
223,,6562
224,,6718
225,,6495
226,,6541
227,,6496
228,,6637
229,,6446
230,,6380
231,,6470
232,,6505
233,,6290
234,,6203
235,,6279
236,,6262
237,,6415
238,,6260
239,,6304
240,,6278
241,,6247
242,,6144
243,,6280
244,,6178
245,,6222
246,,6156
247,,6111
248,,6059
249,,6107
250,,6044
251,,6055
252,,5930
253,,5859
254,,5998
255,,5966
256,,5814
257,,5860
258,,5775
259,,5862
260,,5787
261,,5767
262,,5628
263,,5697
264,,5658
265,,5745
266,,5669
267,,5565
268,,5504
269,,5483
270,,5435
271,,5486
272,,5551
273,,5396
274,,5302
275,,5372
276,,5255
277,,5330
278,,5229
279,,5303
280,,5244
281,,5055
282,,5122
283,,5086
284,,5165
285,,5151
286,,5038
287,,4948
288,,4846
289,,4907
290,,4898
291,,4926
292,,4798
293,,4844
294,,4766
295,,4801
296,,4816
297,,4661
298,,4635
299,,4725
300,,4653
301,,4718
302,,4541
303,,4489
304,,4553
305,,4510
306,,4499
307,,4427
308,,4344
309,,4459
310,,4503
311,,4334
312,,4327
313,,4338
314,,4362
315,,4385
316,,4189
317,,4132
318,,4078
319,,4112
320,,4126
321,,4122
322,,4024
323,,3932
324,,4035
325,,3942
326,,3993
327,,3819
328,,3781
329,,3848
330,,3825
331,,3717
332,,3792
333,,3761
334,,3786
335,,3705
336,,3758
337,,3574
338,,3542
339,,3530
340,,3483
341,,3581
342,,3432
343,,3424
344,,3515
345,,3384
346,,3480
347,,3419
348,,3376
349,,3314
350,,3402
351,,3379
352,,3175
353,,3248
354,,3159
355,,3050
356,,3249
357,,3138
358,,3125
359,,3007
360,,3097
361,,3266
362,,3143
363,,2999
364,,3135
365,,2978
366,,3046
367,,3038
368,,2910
369,,2882
370,,2784
371,,2894
372,,2876
373,,2807
374,,2835
375,,2802
376,,2898
377,,2743
378,,2738
379,,2860
380,,2739
381,,2666
382,,2725
383,,2694
384,,2636
385,,2637
386,,2619
387,,2616
388,,2514
389,,2660
390,,2634
391,,2583
392,,2568
393,,2476
394,,2495
395,,2552
396,,2521
397,,2420
398,,2505
399,,2312
400,,2380
401,,2339
402,,2358
403,,2278
404,,2311
405,,2318
406,,2306
407,,2299
408,,2363
409,,2279
410,,2275
411,,2283
412,,2199
413,,2175
414,,2196
415,,2234
416,,2153
417,,2195
418,,2152
419,,2168
420,,2037
421,,2053
422,,2113
423,,2046
424,,2052
425,,2033
426,,2034
427,,2042
428,,1908
429,,1932
430,,2024
431,,1909
432,,1939
433,,1895
434,,1898
435,,1898
436,,1942
437,,1930
438,,1841
439,,1803
440,,1828
441,,1872
442,,1822
443,,1738
444,,1821
445,,1789
446,,1820
447,,1795
448,,1711
449,,1704
450,,1757
451,,1665
452,,1688
453,,1692
454,,1653
455,,1662
456,,1605
457,,1699
458,,1630
459,,1610
460,,1608
461,,1666
462,,1536
463,,1564
464,,1592
465,,1543
466,,1533
467,,1601
468,,1550
469,,1464
470,,1467
471,,1524
472,,1447
473,,1487
474,,1454
475,,1391
476,,1384
477,,1388
478,,1379
479,,1402
480,,1419
481,,1422
482,,1272
483,,1372
484,,1341
485,,1322
486,,1272
487,,1409
488,,1321
489,,1314
490,,1242
491,,1216
492,,1250
493,,1261
494,,1247
495,,1194
496,,1234
497,,1213
498,,1212
499,,1168
500,,1177
501,,1170
502,,1148
503,,1162
504,,1128
505,,1127
506,,1116
507,,1149
508,,1103
509,,1088
510,,1098
511,,1091
512,,1017
513,,1032
514,,1062
515,,1005
516,,988
517,,1012
518,,993
519,,1022
520,,924
521,,957
522,,963
523,,960
524,,955
525,,950
526,,916
527,,990
528,,903
529,,957
530,,965
531,,915
532,,897
533,,866
534,,909
535,,864
536,,855
537,,836
538,,823
539,,833
540,,861
541,,835
542,,820
543,,795
544,,778
545,,745
546,,792
547,,776
548,,773
549,,759
550,,729
551,,720
552,,748
553,,825
554,,747
555,,726
556,,698
557,,721
558,,744
559,,701
560,,697
561,,677
562,,690
563,,642
564,,701
565,,640
566,,645
567,,656
568,,633
569,,688
570,,661
571,,618
572,,616
573,,661
574,,641
575,,622
576,,602
577,,665
578,,599
579,,615
580,,548
581,,552
582,,623
583,,597
584,,557
585,,582
586,,594
587,,560
588,,553
589,,537
590,,542
591,,539
592,,539
593,,551
594,,500
595,,527
596,,526
597,,547
598,,529
599,,529
600,,490
601,,488
602,,462
603,,533
604,,507
605,,477
606,,480
607,,504
608,,513
609,,468
610,,483
611,,474
612,,507
613,,452
614,,457
615,,492
616,,448
617,,443
618,,432
619,,451
620,,421
621,,400
622,,425
623,,419
624,,396
625,,428
626,,432
627,,460
628,,411
629,,420
630,,398
631,,384
632,,445
633,,394
634,,416
635,,371
636,,392
637,,412
638,,376
639,,457
640,,393
641,,373
642,,391
643,,398
644,,402
645,,338
646,,361
647,,403
648,,391
649,,373
650,,366
651,,315
652,,337
653,,342
654,,358
655,,334
656,,353
657,,348
658,,361
659,,356
660,,311
661,,348
662,,332
663,,334
664,,372
665,,314
666,,315
667,,339
668,,321
669,,334
670,,328
671,,320
672,,326
673,,325
674,,343
675,,324
676,,333
677,,339
678,,296
679,,304
680,,305
681,,305
682,,299
683,,292
684,,306
685,,310
686,,299
687,,286
688,,303
689,,302
690,,303
691,,266
692,,301
693,,305
694,,270
695,,256
696,,283
697,,300
698,,304
699,,287
700,,280
701,,270
702,,277
703,,269
704,,242
705,,277
706,,268
707,,279
708,,287
709,,264
710,,267
711,,264
712,,257
713,,269
714,,272
715,,288
716,,268
717,,274
718,,260
719,,258
720,,224
721,,240
722,,301
723,,259
724,,243
725,,257
726,,237
727,,238
728,,233
729,,245
730,,295
731,,255
732,,283
733,,272
734,,234
735,,230
736,,232
737,,265
738,,225
739,,240
740,,226
741,,241
742,,227
743,,220
744,,221
745,,225
746,,250
747,,239
748,,233
749,,218
750,,206
751,,250
752,,239
753,,211
754,,230
755,,215
756,,219
757,,230
758,,207
759,,196
760,,238
761,,203
762,,228
763,,208
764,,202
765,,197
766,,205
767,,200
768,,183
769,,200
770,,225
771,,211
772,,201
773,,199
774,,229
775,,198
776,,208
777,,220
778,,204
779,,220
780,,204
781,,194
782,,197
783,,171
784,,210
785,,163
786,,170
787,,193
788,,193
789,,168
790,,185
791,,200
792,,191
793,,164
794,,181
795,,193
796,,184
797,,198
798,,178
799,,185
800,,175
801,,170
802,,162
803,,166
804,,195
805,,187
806,,174
807,,177
808,,184
809,,154
810,,162
811,,168
812,,180
813,,185
814,,163
815,,167
816,,178
817,,187
818,,166
819,,163
820,,167
821,,183
822,,162
823,,179
824,,175
825,,169
826,,152
827,,158
828,,175
829,,166
830,,204
831,,172
832,,170
833,,163
834,,175
835,,165
836,,174
837,,159
838,,174
839,,150
840,,186
841,,168
842,,167
843,,165
844,,141
845,,155
846,,174
847,,141
848,,178
849,,166
850,,165
851,,149
852,,185
853,,158
854,,140
855,,163
856,,151
857,,176
858,,163
859,,171
860,,172
861,,137
862,,153
863,,169
864,,183
865,,172
866,,144
867,,137
868,,156
869,,175
870,,150
871,,145
872,,162
873,,151
874,,136
875,,156
876,,164
877,,184
878,,166
879,,143
880,,173
881,,138
882,,184
883,,127
884,,143
885,,158
886,,173
887,,144
888,,165
889,,156
890,,157
891,,159
892,,146
893,,157
894,,162
895,,155
896,,161
897,,160
898,,153
899,,146
900,,150
901,,141
902,,153
903,,133
904,,154
905,,156
906,,155
907,,137
908,,150
909,,157
910,,175
911,,155
912,,153
913,,144
914,,109
915,,159
916,,173
917,,157
918,,142
919,,149
920,,165
921,,132
922,,166
923,,152
924,,163
925,,164
926,,161
927,,133
928,,154
929,,144
930,,138
931,,146
932,,142
933,,133
934,,153
935,,150
936,,150
937,,154
938,,140
939,,139
940,,147
941,,134
942,,133
943,,170
944,,144
945,,133
946,,143
947,,160
948,,124
949,,142
950,,165
951,,159
952,,155
953,,162
954,,145
955,,148
956,,154
957,,130
958,,136
959,,143
960,,127
961,,153
962,,129
963,,125
964,,137
965,,142
966,,148
967,,137
968,,132
969,,145
970,,143
971,,134
972,,144
973,,118
974,,125
975,,137
976,,141
977,,125
978,,146
979,,125
980,,108
981,,154
982,,140
983,,129
984,,139
985,,128
986,,133
987,,141
988,,141
989,,129
990,,104
991,,114
992,,129
993,,139
994,,134
995,,138
996,,125
997,,134
998,,131
999,,144
1000,,130
1001,,130
1002,,113
1003,,122
1004,,114
1005,,123
1006,,118
1007,,123
1008,,122
1009,,124
1010,,119
1011,,106
1012,,102
1013,,119
1014,,121
1015,,122
1016,,120
1017,,126
1018,,106
1019,,120
1020,,129
1021,,109
1022,,104
1023,,104
