Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1450
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,1048
Lower Discriminator:,30
Calibration Coefficients:Elapsed Real Time:,52.94
Elapsed Live Time:,17.12
Start Time:,November 13, 2023, 04:32:00
End Time:,November 13, 2023, 04:32:27
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,103
1,,4
2,,3
3,,2
4,,7
5,,4
6,,10
7,,3
8,,10
9,,11
10,,10
11,,9
12,,7
13,,17
14,,34
15,,58
16,,82
17,,134
18,,228
19,,294
20,,373
21,,443
22,,629
23,,1954
24,,5521
25,,7007
26,,7181
27,,7067
28,,7174
29,,6948
30,,6772
31,,6630
32,,6735
33,,6533
34,,6433
35,,6238
36,,6262
37,,6310
38,,6054
39,,6076
40,,6111
41,,5974
42,,6044
43,,5898
44,,6037
45,,5869
46,,5890
47,,5922
48,,5827
49,,5799
50,,5856
51,,5726
52,,5945
53,,5962
54,,5870
55,,5947
56,,5941
57,,6145
58,,6151
59,,6116
60,,6199
61,,6330
62,,6366
63,,6306
64,,6412
65,,6549
66,,6620
67,,6632
68,,6745
69,,6770
70,,6858
71,,6873
72,,6919
73,,7072
74,,7286
75,,7151
76,,7313
77,,7357
78,,7430
79,,7603
80,,7615
81,,7598
82,,7767
83,,7767
84,,7857
85,,7827
86,,7967
87,,8188
88,,8037
89,,8355
90,,8181
91,,8103
92,,8201
93,,8474
94,,8456
95,,8315
96,,8582
97,,8521
98,,8528
99,,8694
100,,8822
101,,8669
102,,9000
103,,8740
104,,8960
105,,9259
106,,9131
107,,9174
108,,9397
109,,9365
110,,9475
111,,9237
112,,9230
113,,9357
114,,9412
115,,9429
116,,9371
117,,9342
118,,9355
119,,9196
120,,8991
121,,9212
122,,9283
123,,9133
124,,9281
125,,8860
126,,8680
127,,8771
128,,8696
129,,8461
130,,8567
131,,8419
132,,8540
133,,8235
134,,8021
135,,8007
136,,8010
137,,7958
138,,7831
139,,7902
140,,7888
141,,7731
142,,7781
143,,7593
144,,7687
145,,7637
146,,7455
147,,7259
148,,7383
149,,7532
150,,7333
151,,7341
152,,7212
153,,7194
154,,7051
155,,7136
156,,7136
157,,7125
158,,6995
159,,6997
160,,7076
161,,7013
162,,7146
163,,7022
164,,7001
165,,6994
166,,7138
167,,7111
168,,7179
169,,6990
170,,6941
171,,6964
172,,6947
173,,7006
174,,6929
175,,6983
176,,7079
177,,6910
178,,7103
179,,7058
180,,6942
181,,7056
182,,6994
183,,6867
184,,6755
185,,6786
186,,6856
187,,6721
188,,6735
189,,6750
190,,6451
191,,6536
192,,6486
193,,6455
194,,6347
195,,6432
196,,6249
197,,6469
198,,6232
199,,6309
200,,6125
201,,6189
202,,6124
203,,6048
204,,5897
205,,5981
206,,5936
207,,5799
208,,5936
209,,5853
210,,5975
211,,5774
212,,5727
213,,5704
214,,5631
215,,5713
216,,5763
217,,5633
218,,5563
219,,5598
220,,5467
221,,5444
222,,5588
223,,5374
224,,5413
225,,5468
226,,5332
227,,5274
228,,5321
229,,5340
230,,5346
231,,5337
232,,5269
233,,5345
234,,5193
235,,5157
236,,5261
237,,5279
238,,5188
239,,5102
240,,5060
241,,5136
242,,5157
243,,5165
244,,4887
245,,5017
246,,5030
247,,4981
248,,4980
