Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1450
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,1048
Lower Discriminator:,41
Calibration Coefficients:Elapsed Real Time:,30.02
Elapsed Live Time:,11.63
Start Time:,November 20, 2023, 11:56:07
End Time:,November 20, 2023, 11:56:37
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,1
17,,1
18,,0
19,,0
20,,2
21,,0
22,,1
23,,2
24,,6
25,,17
26,,17
27,,36
28,,58
29,,67
30,,92
31,,118
32,,145
33,,202
34,,2031
35,,13456
36,,15668
37,,15316
38,,14300
39,,13776
40,,13516
41,,12848
42,,12287
43,,11493
44,,11252
45,,10722
46,,10386
47,,9908
48,,9512
49,,9171
50,,8632
51,,8195
52,,7922
53,,7615
54,,7183
55,,6898
56,,6571
57,,6189
58,,5874
59,,5598
60,,5166
61,,4989
62,,4907
63,,4599
64,,4380
65,,4269
66,,3949
67,,3786
68,,3643
69,,3445
70,,3364
71,,3187
72,,3140
73,,2933
74,,2805
75,,2706
76,,2555
77,,2425
78,,2326
79,,2320
80,,2167
81,,2070
82,,1934
83,,2015
84,,1802
85,,1833
86,,1759
87,,1743
88,,1661
89,,1641
90,,1578
91,,1501
92,,1492
93,,1432
94,,1434
95,,1387
96,,1352
97,,1340
98,,1303
99,,1316
100,,1217
101,,1193
102,,1152
103,,1139
104,,1059
105,,1077
106,,1071
107,,1038
108,,960
109,,1054
110,,1037
111,,995
112,,936
113,,954
114,,956
115,,923
116,,919
117,,943
118,,887
119,,930
120,,826
121,,894
122,,845
123,,872
124,,816
125,,836
126,,802
127,,789
128,,820
129,,814
130,,801
131,,768
132,,783
133,,786
134,,745
135,,711
136,,755
137,,703
138,,748
139,,699
140,,694
141,,704
142,,726
143,,717
144,,660
145,,688
146,,701
147,,673
148,,673
149,,703
150,,657
151,,646
152,,662
153,,686
154,,693
155,,649
156,,626
157,,649
158,,676
159,,626
160,,629
161,,637
162,,620
163,,654
164,,624
165,,707
166,,625
167,,689
168,,616
169,,620
170,,604
171,,673
172,,573
173,,590
174,,605
175,,642
176,,573
177,,597
178,,590
179,,627
180,,601
181,,608
182,,594
183,,568
184,,606
185,,621
186,,620
187,,559
188,,622
189,,562
190,,597
191,,545
192,,601
193,,625
194,,541
195,,557
196,,552
197,,562
198,,543
199,,595
200,,548
201,,556
202,,572
203,,546
204,,540
205,,543
206,,538
207,,570
208,,528
209,,556
210,,529
211,,564
212,,558
213,,550
214,,564
215,,535
216,,549
217,,555
218,,515
219,,555
220,,532
221,,575
222,,509
223,,533
224,,553
225,,513
226,,516
227,,550
228,,526
229,,513
230,,539
231,,528
232,,557
233,,515
234,,521
235,,536
236,,527
237,,531
238,,516
239,,528
240,,532
241,,541
242,,555
243,,550
244,,527
245,,526
246,,554
247,,515
248,,559
249,,483
250,,508
251,,521
252,,551
253,,484
254,,531
255,,522
256,,508
257,,545
258,,487
259,,530
260,,493
261,,532
262,,524
263,,526
264,,509
265,,488
266,,523
267,,527
268,,488
269,,543
270,,531
271,,534
272,,509
273,,528
274,,502
275,,457
276,,520
277,,494
278,,518
279,,508
280,,501
281,,540
282,,511
283,,524
284,,478
285,,465
286,,551
287,,509
288,,511
289,,545
290,,523
291,,509
292,,470
293,,507
294,,526
295,,485
296,,541
297,,480
298,,533
299,,507
300,,534
301,,531
302,,490
303,,489
304,,487
305,,528
306,,459
307,,515
308,,511
309,,524
310,,473
311,,470
312,,500
313,,504
314,,502
315,,503
316,,475
317,,504
318,,498
319,,514
320,,498
321,,514
322,,465
323,,484
324,,418
325,,494
326,,471
327,,530
328,,506
329,,471
330,,494
331,,451
332,,497
333,,463
334,,510
335,,481
336,,474
337,,495
338,,510
339,,499
340,,493
341,,520
342,,502
343,,512
344,,542
345,,494
346,,476
347,,484
348,,504
349,,469
350,,461
351,,455
352,,472
353,,506
354,,500
355,,501
356,,500
357,,473
358,,486
359,,490
360,,483
